sku,store_id,qty
SKU000001,STORE_MUMBAI,182
SKU000001,STORE_DELHI,249
SKU000001,STORE_BANGALORE,152
SKU000001,STORE_PUNE,54
SKU000001,STORE_CHENNAI,156
SKU000002,STORE_MUMBAI,151
SKU000002,STORE_DELHI,258
SKU000002,STORE_BANGALORE,80
SKU000002,STORE_PUNE,142
SKU000002,STORE_CHENNAI,171
SKU000003,STORE_MUMBAI,290
SKU000003,STORE_DELHI,144
SKU000003,STORE_BANGALORE,147
SKU000003,STORE_PUNE,156
SKU000003,STORE_CHENNAI,149
SKU000004,STORE_MUMBAI,183
SKU000004,STORE_DELHI,221
SKU000004,STORE_BANGALORE,190
SKU000004,STORE_PUNE,92
SKU000004,STORE_CHENNAI,51
SKU000005,STORE_MUMBAI,167
SKU000005,STORE_DELHI,227
SKU000005,STORE_BANGALORE,97
SKU000005,STORE_PUNE,169
SKU000005,STORE_CHENNAI,70
SKU000006,STORE_MUMBAI,240
SKU000006,STORE_DELHI,127
SKU000006,STORE_BANGALORE,81
SKU000006,STORE_PUNE,128
SKU000006,STORE_CHENNAI,98
SKU000007,STORE_MUMBAI,298
SKU000007,STORE_DELHI,128
SKU000007,STORE_BANGALORE,229
SKU000007,STORE_PUNE,54
SKU000007,STORE_CHENNAI,100
SKU000008,STORE_MUMBAI,187
SKU000008,STORE_DELHI,124
SKU000008,STORE_BANGALORE,123
SKU000008,STORE_PUNE,170
SKU000008,STORE_CHENNAI,100
SKU000009,STORE_MUMBAI,214
SKU000009,STORE_DELHI,90
SKU000009,STORE_BANGALORE,132
SKU000009,STORE_PUNE,57
SKU000009,STORE_CHENNAI,181
SKU000010,STORE_MUMBAI,168
SKU000010,STORE_DELHI,129
SKU000010,STORE_BANGALORE,73
SKU000010,STORE_PUNE,48
SKU000010,STORE_CHENNAI,139
SKU000011,STORE_MUMBAI,132
SKU000011,STORE_DELHI,199
SKU000011,STORE_BANGALORE,143
SKU000011,STORE_PUNE,131
SKU000011,STORE_CHENNAI,160
SKU000012,STORE_MUMBAI,267
SKU000012,STORE_DELHI,241
SKU000012,STORE_BANGALORE,67
SKU000012,STORE_PUNE,74
SKU000012,STORE_CHENNAI,130
SKU000013,STORE_MUMBAI,243
SKU000013,STORE_DELHI,119
SKU000013,STORE_BANGALORE,163
SKU000013,STORE_PUNE,171
SKU000013,STORE_CHENNAI,51
SKU000014,STORE_MUMBAI,213
SKU000014,STORE_DELHI,123
SKU000014,STORE_BANGALORE,165
SKU000014,STORE_PUNE,43
SKU000014,STORE_CHENNAI,103
SKU000015,STORE_MUMBAI,270
SKU000015,STORE_DELHI,215
SKU000015,STORE_BANGALORE,103
SKU000015,STORE_PUNE,53
SKU000015,STORE_CHENNAI,144
